device_id,date,is_daytime,humidity_count,humidity_mean,humidity_std,humidity_min,humidity_max,co2_count,co2_mean,co2_std,co2_min,co2_max
P1,2025-07-17,0,89,65.51532584269663,2.4313275123202764,62.839,70.627,89,537.2022471910112,29.53856484453121,496,591
P1,2025-07-18,0,1437,59.27363117606124,4.35076979473414,50.296,64.641,1437,562.9234516353514,93.69071228260702,449,827
P1,2025-07-18,1,1150,54.676361739130435,2.2895989933813796,49.002,62.944,1150,694.0730434782608,99.72634385726076,459,828
P1,2025-07-19,0,1436,59.097307799442895,0.9770076294384598,56.373,60.817,1436,412.8955431754875,9.200300384291946,409,450
P1,2025-07-19,1,1437,59.95003966597077,1.033171283780627,57.686,63.002,1437,409.0654140570633,0.5923438399079426,408,410
P1,2025-07-20,0,1152,59.03518576388889,0.7755885622789404,56.381,60.831,1152,409.0,0.0,409,409
P1,2025-07-20,1,1436,60.01555988857938,0.6953444607235404,57.032,61.746,1436,409.2214484679666,0.5433021933517309,408,411
P1,2025-07-21,0,903,56.40071760797342,2.830357219114543,49.18,60.892,903,484.2214839424142,85.99373271142905,409,663
P1,2025-07-21,1,1183,49.5486043956044,2.71034150620386,45.925,61.124,1183,619.1969568892646,96.40421418113506,408,794
P1,2025-07-22,0,1436,58.08020403899721,3.388272983586286,46.094,61.246,1436,482.61768802228414,102.9507751212475,408,798
P1,2025-07-22,1,1437,51.44061795407099,4.251842848309965,46.723,61.504,1437,663.7606123869172,170.31084486693888,406,862
P1,2025-07-23,0,1436,57.389869080779945,3.424697379381067,47.995,61.108,1436,484.9456824512535,85.50076211829456,410,693
P1,2025-07-23,1,1423,51.48534785664089,4.159234666935158,46.63,61.466,1423,608.4399156711173,137.44898200116805,407,796
P1,2025-07-24,0,1436,57.36582103064067,3.213484993831196,49.639,61.212,1436,490.19359331476323,83.88706603182345,419,732
P1,2025-07-24,1,1430,51.83857762237762,4.393929198073079,46.273,62.011,1430,599.3321678321678,115.8537820899624,409,777
P1,2025-07-25,0,1436,56.7469721448468,2.6155815919278425,50.719,59.484,1436,483.9491643454039,93.10844633967972,409,716
P1,2025-07-25,1,1437,51.645853862212945,3.112079871222546,47.27,59.0,1437,624.6659707724426,143.64042188057581,406,803
P1,2025-07-26,0,1436,60.99660027855153,0.9664781160596307,58.267,62.141,1436,422.1706128133705,11.930553984196933,410,456
P1,2025-07-26,1,1437,61.16461517049408,0.29330191384752446,60.365,62.225,1437,412.29575504523314,3.5149208522151336,410,425
P1,2025-07-27,0,1431,60.62302375960867,1.022851626476113,58.83,62.13,1431,410.0188679245283,0.23428296506295437,410,415
P1,2025-07-27,1,1436,60.93424442896936,0.9914668860863891,59.082,62.906,1436,409.6859331476323,0.46729695665807747,409,411
P1,2025-07-28,0,1437,56.54831732776618,3.260736257719803,46.853,59.775,1437,446.56297842727906,69.73462206280722,409,669
P1,2025-07-28,1,1436,50.73946239554318,4.897856828824044,44.454,63.116,1436,591.7388579387186,116.6659995486295,408,762
P1,2025-07-29,0,1436,58.34788300835655,2.4624278858321276,52.713,64.115,1436,466.53133704735376,74.68357216351549,409,675
P1,2025-07-29,1,1437,52.0753785664579,3.91725455064211,46.094,62.966,1437,636.5497564370215,141.66330795945672,406,828
P1,2025-07-30,0,1436,58.494732590529246,5.253182760830514,50.104,64.883,1436,532.259052924791,122.90292373915315,415,797
P1,2025-07-30,1,1437,56.20595546276966,4.499029776647699,48.88,66.165,1437,635.7070285316632,146.07210428799317,408,865
P1,2025-07-31,0,1436,55.4257938718663,3.0026643080818434,47.571,58.947,1436,541.2931754874652,89.72262939287151,464,767
P1,2025-07-31,1,1437,50.722194850382735,3.3247032516166715,46.14,58.217,1437,716.544885177453,156.86133798927008,410,882
P1,2025-08-01,0,1438,55.93358136300417,4.349200308033852,47.76,60.702,1438,521.1043115438108,96.97697304418766,420,728
P1,2025-08-01,1,1436,51.08217548746518,4.576766158341219,45.447,60.658,1436,678.2075208913649,156.4263052073354,408,851
P1,2025-08-02,0,1436,59.39069637883008,0.8039917735035689,56.958,60.684,1436,438.24025069637884,29.4723411766333,410,499
P1,2025-08-02,1,1437,60.0683437717467,0.3969889456449895,58.803,61.206,1437,419.12456506610994,17.17294267748428,409,460
P1,2025-08-03,0,1408,58.41567684659091,1.7959747316287877,54.954,60.847,1408,409.74076704545456,0.43998770060259274,409,411
P1,2025-08-03,1,1437,57.034118997912316,1.897366999946768,54.181,60.628,1437,409.5525400139179,1.4576861957325167,408,420
P1,2025-08-04,0,1438,54.86587552155772,3.8140605458491623,46.997,58.879,1438,470.260083449235,85.3088813620335,410,729
P1,2025-08-04,1,1436,48.9875278551532,4.41366228236572,44.535,59.896,1436,628.1190807799443,130.58289752857885,409,768
P1,2025-08-05,0,1436,55.274032729805015,4.582724295391233,47.726,61.034,1436,482.142061281337,87.24379322391133,414,727
P1,2025-08-05,1,1437,49.63278148921364,4.654874596818723,45.009,60.978,1437,613.5400139178845,123.20188876952567,409,761
P1,2025-08-06,0,1436,53.27175974930363,4.5613760705758475,47.098,59.989,1436,481.7026462395543,98.97038599044205,410,737
P1,2025-08-06,1,1437,49.261700765483646,4.568734756200365,44.691,60.024,1437,605.7620041753653,136.21606578372507,408,799
P1,2025-08-07,0,1436,49.99916086350975,1.374441265215223,47.118,53.305,1436,476.6942896935933,85.1456992441418,408,680
P1,2025-08-07,1,1437,48.26474878218511,1.3735756406569395,46.025,52.169,1437,643.5588030619346,136.27787921343622,408,820
P1,2025-08-08,0,1437,53.825453723034094,3.3170467217329316,48.106,58.551,1437,480.9408489909534,75.88100002279745,413,674
P1,2025-08-08,1,1436,49.91468732590529,3.7003930538576784,45.645,58.495,1436,582.9616991643454,108.17386602874801,409,704
P1,2025-08-09,0,1438,57.20998539638387,3.3514842041546657,52.655,62.605,1438,410.1696801112656,2.210652714245296,408,423
P1,2025-08-09,1,1436,53.1688356545961,5.2545067031577055,46.967,62.437,1436,409.80292479108635,1.422376603681937,408,418
P1,2025-08-10,0,1436,56.08497493036212,1.1051351815076251,52.731,58.21,1436,431.8516713091922,22.914526926016073,409,470
P1,2025-08-10,1,1437,54.18533681280445,1.5984431350898662,51.418,57.259,1437,428.8768267223382,17.50943236310568,409,468
P1,2025-08-11,0,1436,53.3413426183844,3.5249200760387644,47.173,57.009,1436,544.7736768802229,109.22633039181251,454,822
P1,2025-08-11,1,1437,47.08467849686848,3.577874386611249,43.0,57.359,1437,707.4718162839248,157.80969928938066,417,878
P1,2025-08-12,0,1436,54.74577437325905,2.615362759616357,49.079,58.45,1436,502.5376044568245,81.26352782311014,425,741
P1,2025-08-12,1,1437,50.62544467640918,3.428523727561737,46.178,58.562,1437,656.5421016005567,129.09648176328517,410,809
P1,2025-08-13,0,1438,54.35979902642559,3.1276558772748424,48.554,58.125,1438,480.84005563282335,103.0689522424208,410,760
P1,2025-08-13,1,1436,49.91002506963788,3.7230208426079563,45.76,59.194,1436,649.3349582172702,148.7081651652911,408,816
P1,2025-08-14,0,1437,55.93938482950591,2.012185690293256,50.992,59.834,1437,464.95407098121086,70.2289677904454,410,636
P1,2025-08-14,1,1436,51.878084261838445,3.530552152413163,48.027,60.74,1436,624.708913649025,130.8836659977902,410,799
P1,2025-08-15,0,1436,56.63496935933148,1.8085181954218519,52.122,59.271,1436,461.4714484679666,62.07635979635077,415,651
P1,2025-08-15,1,1437,51.33118162839248,3.5262141090147843,47.516,59.595,1437,602.3159359777313,113.52674627822115,409,755
P1,2025-08-16,0,1436,58.2096852367688,1.0825616496280177,55.281,60.31,1436,413.5717270194986,3.3470161569220997,410,424
P1,2025-08-16,1,1437,56.65167153792624,2.6007102015035417,53.526,62.007,1437,411.3973556019485,4.409576653301768,409,427
P1,2025-08-17,0,1437,56.54339248434238,2.565447550729169,51.715,59.517,1437,419.28462073764786,7.355695788167496,410,436
P1,2025-08-17,1,1436,54.1478635097493,2.6483780990586525,51.364,59.169,1436,420.1692200557103,13.66824136345495,409,456
P1,2025-08-18,0,1438,48.12793324061196,4.02062909001375,40.479,56.839,1438,588.2809457579972,182.54034072006505,424,1006
P1,2025-08-18,1,1436,41.50302158774373,2.2368606302083474,36.483,48.369,1436,816.7785515320335,258.2955193506966,408,1129
P1,2025-08-19,0,1436,45.47860654596101,1.4937746315840545,42.485,49.007,1436,625.1678272980502,150.8160994595139,461,951
P1,2025-08-19,1,1437,43.249083507306885,1.3702377663008487,40.52,48.499,1437,800.5949895615867,216.3446618997985,452,1075
P1,2025-08-20,0,1437,46.93437230340988,1.8799088191709488,44.231,50.781,1437,582.7014613778706,106.32897827227309,482,901
P1,2025-08-20,1,1420,44.0999838028169,1.3463079952972075,41.127,49.228,1420,737.9105633802817,198.89819771062955,409,987
P1,2025-08-21,0,1437,48.35855532359082,1.4374178612482678,45.841,51.703,1437,539.8420320111343,103.36582525653989,420,781
P1,2025-08-21,1,1436,45.497311977715874,1.8488837838425913,42.41,53.194,1436,727.299442896936,181.36859736786826,420,934
P1,2025-08-22,0,1427,46.178473721093205,2.27244407009907,41.871,49.517,1427,595.3826208829713,141.10659903925446,450,869
P1,2025-08-22,1,1436,44.93137743732591,2.6577308433772955,40.204,52.288,1436,678.4073816155989,169.6074514374432,410,877
P1,2025-08-23,0,1436,45.339593314763235,0.673485012208549,43.961,47.476,1436,436.9185236768802,33.878543745572884,409,537
P1,2025-08-23,1,1437,45.101039665970774,0.7641786489286585,43.112,47.599,1437,410.90466249130134,4.719568901258468,409,435
P1,2025-08-24,0,1436,44.82281406685237,1.1934790251710685,42.219,46.826,1436,409.79805013927574,0.4015948522564516,409,410
P1,2025-08-24,1,1437,43.71625956854558,1.4285727557637529,41.224,46.772,1437,413.0125260960334,6.685835781016325,408,433
P1,2025-08-25,0,1436,44.31284540389972,0.6426254140424879,42.918,46.82,1436,558.9993036211699,163.55731235442153,410,888
P1,2025-08-25,1,1437,41.23122129436326,1.582438619479714,38.382,45.441,1437,765.6235212247739,214.03122953894967,409,1014
P1,2025-08-26,0,1208,43.76842632450331,0.8884550797320304,42.268,48.039,1208,617.3112582781457,153.2216932960535,471,935
P1,2025-08-26,1,1436,42.418887186629526,1.244077536522959,40.101,47.253,1436,817.215877437326,192.33412977408423,474,1030
P1,2025-08-27,0,895,45.31008603351955,1.0106760680425075,43.613,49.054,895,602.0100558659218,82.68507753166502,414,785
P1,2025-08-27,1,1284,43.44609657320872,1.6459604052085721,40.541,50.885,1284,696.936137071651,158.59180769459974,410,889
P1,2025-08-28,0,1436,49.85693245125348,3.4464210757930824,44.63,56.702,1436,447.1295264623955,34.1964799223362,410,582
P1,2025-08-28,1,1431,44.360607966457025,2.737483742400757,40.042,51.132,1431,651.5625436757513,161.40298814475707,409,889
P1,2025-08-29,0,1354,57.231305760709006,3.022906040688578,49.326,62.259,1354,443.6935007385524,48.40896396505896,410,600
P1,2025-08-29,1,430,51.030109302325585,5.248408169343782,44.474,62.683,430,583.0790697674419,134.99181803426302,409,783
P1,2025-08-30,0,1438,62.72622739916551,1.7131943765708733,57.604,65.738,1438,409.9005563282337,1.622900561245038,409,421
P1,2025-08-30,1,1436,60.74733286908078,4.129442674841308,55.588,67.441,1436,408.81615598885793,0.7855246060187964,408,411
P1,2025-08-31,0,1437,61.8594307585247,2.5515991531611317,58.198,65.575,1437,431.0111343075852,19.640392085929623,409,460
P1,2025-08-31,1,1436,60.38971169916435,3.242913573907798,55.937,65.71,1436,435.0215877437326,17.206884830233992,410,462
P1,2025-09-01,0,1436,57.3879651810585,2.975526291194249,51.908,60.54,1436,501.3488857938719,55.216862345296526,450,652
