device_id,dow,temperature_count,temperature_mean,temperature_std,temperature_min,temperature_max,absolute_humidity_count,absolute_humidity_mean,absolute_humidity_std,absolute_humidity_min,absolute_humidity_max,co2_count,co2_mean,co2_std,co2_min,co2_max
P1,0,27904,27.518807339449545,1.5003150000547025,24.41,30.93,27904,13.628727064220184,2.397793434154992,9.58,19.51,27904,595.1170083142201,170.10909946927376,408,1129
P1,1,26617,27.204627493707026,0.9914457791163304,24.75,29.88,26617,13.781327722883871,2.102755615775803,10.27,19.05,26617,600.7543299395123,169.99975827917658,406,1075
P1,2,23176,27.02949905074215,0.9118756156775312,24.55,29.17,23176,13.620457801173627,2.028729014148274,10.26,18.44,23176,578.4409734207801,150.95589091952343,407,987
P1,3,25060,26.826856344772548,0.8939749942076789,21.87,29.0,25060,13.29241859537111,1.5863251581689635,10.08,18.0,25060,576.066839584996,147.6666875713296,407,934
P1,4,27345,26.743562625708538,1.1080899142589165,22.42,29.38,27345,13.761769976229656,1.6692801907032484,9.76,17.63,27345,562.2317791186689,134.67983769440272,406,877
P1,5,28192,28.450574276390466,1.3677870512478265,23.53,31.29,28192,16.341619608399547,1.7225745989252224,11.54,19.35,28192,419.4312216231555,17.625232233295932,408,537
P1,6,28003,29.402606863550332,1.5650354563190512,24.78,32.01,28003,16.729756454665573,2.10812261077019,11.55,19.7,28003,422.6743920294254,19.098159622556967,408,493
P2,0,23036,32.19471046709498,1.8235974459580768,27.0216,35.82121,23036,13.693150720611216,2.523060631863573,9.18,19.96,23036,621.7311165132836,233.30339046117751,408,1484
P2,1,24573,31.491449197086233,1.3120617163140542,27.03684,34.82903,24573,13.479993488788509,1.972440704893787,9.72,18.87,24573,637.7775200423229,248.3324170663775,407,1987
P2,2,21138,31.18179288106727,1.1471215076483374,28.07004,33.72141,21138,13.702432112782667,2.0472687853217746,9.71,18.31,21138,556.1026114107295,156.41949026587372,407,1145
P2,3,23774,30.928191592496006,1.0484231266720214,23.14562,33.6218,23774,13.294334567174225,1.695341300015223,10.06,17.79,23774,580.3211912172962,167.1792523803249,407,1347
P2,4,27252,31.104343335535006,1.3323434180518479,24.29289,33.44719,27252,13.669231616028183,1.6352294851666955,9.54,18.02,27252,552.9346103038309,147.26109567332685,407,1235
P2,5,26556,33.091369495405935,0.9522251210384848,31.09758,35.03664,26556,16.426740849525533,1.6967522047888628,11.16,18.83,26556,416.6351860219913,14.984178792673072,408,548
P2,6,25191,34.37928512047954,0.7505949728741913,33.16125,36.11086,25191,17.164192767258147,1.5372152035332824,12.44,19.72,25191,418.7929022269858,11.624675967205352,408,457
P3,0,26332,30.17652408552332,1.918123656309854,24.6093,34.54602,26332,11.929204010329636,2.3228405032081443,8.07,16.74,26332,659.8566762874069,213.0760892568844,400,1978
P3,1,26018,30.091286092705047,1.5652303993536958,24.8216,33.41633,26018,12.080660696440926,2.1721208006983765,8.25,16.32,26018,683.3243523714351,199.77741292019314,411,1492
P3,2,20137,29.695889144857723,1.5048368067871103,24.77297,33.56496,20137,12.198098525103044,2.1450296037629464,8.17,16.58,20137,701.9807816457268,272.1984482150689,400,2143
P3,3,23227,29.245420591122404,1.348145818855247,22.76398,32.96711,23227,11.441109484651484,1.579887097454603,8.27,15.9,23227,689.4927024583459,183.72913853054527,444,1350
P3,4,25711,29.620195035976817,1.41548921521776,24.64328,34.27336,25711,11.864687098907082,1.4935874294728166,8.29,14.72,25711,649.431255104819,142.62849723729641,445,1140
P3,5,27815,31.54184366385044,1.6698126672789309,26.03957,36.61633,27815,14.207801545928456,1.702201437583082,9.33,16.49,27815,485.5224159626101,37.3204480144057,400,685
P3,6,28046,32.39306266562077,1.8164810530984195,26.38605,36.75207,28046,14.396709334664479,2.0317276842475738,9.76,16.7,28046,430.9096127790059,19.953972592653685,400,496
