device_id,week,temperature_count,temperature_mean,temperature_std,temperature_min,temperature_max,absolute_humidity_count,absolute_humidity_mean,absolute_humidity_std,absolute_humidity_min,absolute_humidity_max,co2_count,co2_mean,co2_std,co2_min,co2_max
P1,29,8137,27.271050755806808,1.881148846528907,21.87,29.89,8137,15.442126090696817,1.6264499097957543,12.11,17.89,8137,478.6126336487649,118.26111418582822,408,828
P1,30,19297,27.339508213711976,1.002683645937381,25.15,29.37,19297,14.805136549722754,1.9452475289964228,11.56,18.03,19297,513.3506762709229,131.3807644367138,406,862
P1,31,20084,27.72742133041227,1.034607435441734,25.39,30.42,20084,14.972099183429597,1.6782840047319478,11.77,17.84,20084,531.8266779525991,144.48054635815936,406,882
P1,32,20113,27.86690349525183,1.681865156077078,25.0,31.71,20113,14.281453288917616,2.3492809101017875,11.28,18.02,20113,510.4528911649182,123.72892763830762,408,820
P1,33,20112,28.297521380270485,1.6715565604050062,24.94,31.84,20112,14.948410898965792,2.202945664182428,10.95,18.05,20112,525.6704455051711,139.3336935627639,408,878
P1,34,20086,27.757227919944242,1.6302217960559267,24.44,31.59,20086,12.178957482823858,1.2889786724024537,9.76,17.72,20086,597.2331972518172,203.60208544148148,408,1129
P1,35,18094,28.060913562506908,1.715999571477311,24.44,32.01,18094,14.058343649828673,3.335666442589156,9.58,19.44,18094,558.3244722007295,185.20528658059786,408,1030
P1,36,16183,27.609019959216464,1.6770037951265464,24.41,31.17,16183,15.46721250695174,2.444958832022476,11.1,19.7,16183,535.7266267070382,132.29382244257334,408,879
P1,37,20113,27.58369512255755,1.3853957518143718,24.44,31.09,20113,15.266782677870033,2.408302241230847,11.51,19.23,20113,532.938795803709,139.7754499011516,409,872
P1,38,20113,26.79107293790086,1.2336125335596673,23.53,29.95,20113,14.433871128126087,2.0491167790253715,11.55,19.51,20113,527.292547108835,130.0913963824248,407,870
P1,39,3965,26.68042875157629,0.8321535516855325,25.04,28.18,3965,13.817311475409836,1.47565379482506,11.89,17.56,3965,519.625472887768,106.77787144952461,410,775
P2,29,8035,32.670174540136905,2.892032440565376,23.14562,35.87434,8035,15.615972619788424,1.7946849679475114,11.67,18.48,8035,479.8276291225887,113.04680696900226,409,841
P2,30,19172,32.627878776340495,0.9351667742073233,29.64836,35.07258,19172,15.246884519090342,1.804729692377482,11.39,18.53,19172,527.1290945128312,169.87342990053062,407,1364
P2,31,20160,32.52893675595238,1.3293680702695325,29.77941,36.11086,20160,15.203729166666667,1.577313329435751,11.81,18.33,20160,529.5403273809524,174.2545449095657,408,1297
P2,32,20161,32.08006296513069,1.6927612570897643,28.09309,35.82121,20161,13.863357472347603,2.2984264979984106,9.71,18.66,20161,521.8974257229304,135.43089300297507,408,1103
P2,33,20161,31.727467778880015,1.7594245190962559,26.96613,35.13215,20161,14.607762511780168,2.084391792630134,9.92,18.08,20161,523.2044541441397,164.1894556396816,407,1413
P2,34,20212,31.71647542054225,1.9511819354149462,27.0216,35.93293,20212,12.013235701563428,1.4333318579407077,9.54,16.95,20212,606.2020087076984,255.5213264982127,408,1987
P2,35,15173,32.492431788044556,1.7353177081471098,27.14289,36.01457,15173,14.300469913662427,3.3364074889137694,9.18,19.19,15173,571.8909246688196,247.0558080070019,408,1908
P2,36,15544,31.760146708054553,1.7374241911169959,28.3632,35.30949,15544,15.4705223880597,2.3385962231237243,10.93,19.72,15544,523.3464359238292,169.79405031619663,408,1490
P2,37,17202,32.00838354028601,1.6598130102086692,27.94699,35.71281,17202,15.33648994302988,2.4839762938020074,10.83,19.44,17202,516.8089757004999,153.73810918056373,408,1299
P2,38,15664,31.452961101251276,1.0750232140914817,28.35266,34.55246,15664,14.720722037793667,2.0608240479187847,11.24,19.96,15664,545.9145812053115,141.98116808764155,407,1200
P2,39,36,30.03106916666667,0.7462816902766318,28.38781,30.7718,36,14.870833333333334,0.16402743672934833,14.54,15.07,36,412.0833333333333,15.400139145939097,409,500
P3,29,7729,31.531100375210247,2.17253484967754,22.76398,34.53859,7729,13.960850045283996,1.3539139698228515,10.11,16.13,7729,502.10648208047616,113.377474752339,400,966
P3,30,19136,30.956925017767556,1.0834034776068562,27.78156,33.56496,19136,13.337082984949834,2.0636743581293024,9.46,16.7,19136,603.5421195652174,195.31195097713203,400,1964
P3,31,20126,30.004821805127698,1.2824642894949563,26.00012,33.41633,20126,13.738726522905694,1.5656635219260284,9.77,16.74,20126,604.6912451555203,221.3818482908339,400,1947
P3,32,20143,29.636668988730577,1.8318376513695072,26.27648,34.06965,20143,12.749957305267339,2.1113467653379923,9.1,15.93,20143,604.3595790100779,199.5754174814497,400,2143
P3,33,20143,30.044740906518395,1.8355215323699547,25.99895,34.10168,20143,13.036695129821775,1.882116286670955,9.12,16.11,20143,588.3981532045872,174.09162214468682,400,1319
P3,34,20191,30.694553341587838,2.410124064606008,26.32766,36.75207,20191,9.739091179238274,0.8890252611510839,8.17,15.07,20191,681.8025357832697,224.87559201172522,400,1492
P3,35,14426,32.252740356994316,1.9715535516543121,27.17082,36.6841,14426,12.217428947733259,3.1325041609190327,8.07,16.49,14426,629.7825454041314,209.43310739005182,401,1242
P3,36,12913,31.52635374119105,1.7881478451452393,27.4798,35.00598,12913,13.109945016649888,1.986396628586452,9.72,16.32,12913,618.7851777278711,184.14870026867484,415,1274
P3,37,18726,30.70361579461711,1.6494994184259895,25.20441,33.99953,18726,13.187578767489052,2.0319026476752886,8.97,16.17,18726,565.5673929296166,145.93088812683166,400,994
P3,38,19800,29.168944912121216,1.3524322051667175,24.77297,32.61359,19800,12.534520707070708,1.8279524873614055,9.32,16.6,19800,603.3245454545455,171.82382213584958,400,1194
P3,39,3953,29.198586048570704,1.6269952801129177,24.6093,31.29563,3953,12.006536807487983,1.3301745160471712,9.74,14.58,3953,654.6691120667847,323.90575021120713,416,1978
