device_id,date,hour,temperature_count,temperature_mean,temperature_std,temperature_min,temperature_max,humidity_count,humidity_mean,humidity_std,humidity_min,humidity_max,pressure_count,pressure_mean,pressure_std,pressure_min,pressure_max,gas_resistance_count,gas_resistance_mean,gas_resistance_std,gas_resistance_min,gas_resistance_max,co2_count,co2_mean,co2_std,co2_min,co2_max
P1,2025-09-15,22,59,28.00610169491525,0.1455787137380683,27.75,28.22,59,69.17627118644067,0.24873402430127797,68.77,69.63,59,1014.1596610169491,0.0610812376434803,1014.11,1014.28,59,119951.44067796611,523.3303918237697,118710,121201,0,,,,
P1,2025-09-15,23,119,28.492857142857144,0.1343921838497353,28.23,28.69,119,68.38663865546219,0.2172488899580747,67.96,68.8,119,1014.0186554621849,0.052961840592112355,1013.91,1014.1,119,121731.28571428571,859.1863034966387,119986,123708,0,,,,
P1,2025-09-16,0,120,28.86841666666667,0.09421944555965901,28.68,29.01,120,67.36283333333333,0.3732689645389093,66.79,68.05,120,1013.7658333333333,0.12227248351168427,1013.57,1013.93,120,124231.35,701.9913888959369,122263,125656,0,,,,
P1,2025-09-16,1,119,29.139327731092436,0.06550625655767321,29.02,29.25,119,66.82361344537816,0.31281859987516153,66.17,67.42,119,1013.1742016806722,0.2055026734881712,1012.88,1013.56,119,125559.29411764706,802.524801379699,124350,127668,0,,,,
P1,2025-09-16,2,119,29.361428571428572,0.06416723006366884,29.25,29.47,119,66.95176470588235,0.25572312576077194,66.39,67.73,119,1012.8404201680672,0.11053333692997883,1012.64,1012.99,119,125974.17647058824,568.2677312296779,124907,127570,0,,,,
P1,2025-09-16,3,119,29.57075630252101,0.06226188081933685,29.47,29.68,119,67.1435294117647,0.16727926632184903,66.86,67.65,119,1012.5486554621848,0.03768568423404504,1012.49,1012.63,119,125501.5294117647,383.3101550638526,124350,126511,0,,,,
P1,2025-09-16,4,119,29.732100840336134,0.0350513896235518,29.66,29.79,119,67.03647058823529,0.2673713479169757,66.44,67.83,119,1012.5757142857143,0.0527798662912232,1012.51,1012.7,119,126321.26890756302,534.2290452967042,124907,127668,0,,,,
P1,2025-09-16,5,120,29.803083333333333,0.014010550246416212,29.77,29.83,120,67.61233333333332,0.3307407863979169,66.76,68.31,120,1012.5930833333333,0.05405872675508176,1012.51,1012.72,120,126122.65833333334,473.30025816996147,125000,127376,0,,,,
P1,2025-09-16,6,119,29.916470588235292,0.045128596580351364,29.83,30.0,119,66.34142857142857,0.9905128663974113,64.73,68.16,119,1012.6384873949579,0.09785529489025534,1012.51,1012.83,119,129348.73949579832,2386.7764675685007,125280,133466,0,,,,
P1,2025-09-16,7,119,29.9536974789916,0.027551663218996377,29.91,30.01,119,64.9216806722689,0.231730115259505,64.48,65.55,119,1013.1131092436975,0.11842717778975588,1012.83,1013.36,119,132179.04201680672,559.258428407702,131064,133466,0,,,,
P1,2025-09-16,8,119,29.252100840336134,0.7545813453128832,28.16,30.15,119,60.30453781512605,4.584445098465676,54.42,66.69,119,1013.6360504201681,0.09192128621821788,1013.37,1013.73,119,149201.0,19898.590331214185,126511,179528,0,,,,
P1,2025-09-16,9,120,26.3325,1.7359918338111018,23.77,28.17,120,57.0205,2.9125679131549105,53.53,61.85,120,1013.5448333333334,0.10338785044224379,1013.32,1013.74,120,187053.29166666666,6105.897597310137,178381,199409,0,,,,
P1,2025-09-16,10,119,23.420672268907563,0.282841906768552,23.0,24.1,119,64.49428571428571,1.6247782489784595,61.93,68.67,119,1013.109243697479,0.1733036898679187,1012.72,1013.39,119,192875.11764705883,4990.635199842428,179336,201114,0,,,,
P1,2025-09-16,11,119,22.996050420168068,0.10349992620479537,22.8,23.22,119,64.37613445378152,0.40383565469912264,63.35,65.05,119,1012.3304201680672,0.2807900324113288,1011.77,1012.72,119,201668.72268907563,2545.4111050345787,196202,205763,0,,,,
P1,2025-09-16,12,119,23.308067226890756,0.45797320125675683,22.63,23.94,119,67.52756302521009,1.9157049268498714,63.77,70.83,119,1011.324705882353,0.24229070482203222,1010.97,1011.76,119,189694.06722689077,8921.650160629613,176130,206408,0,,,,
P1,2025-09-16,13,120,22.96425,0.4728310276116292,22.53,23.85,120,67.46158333333334,1.8976092857594589,65.43,71.46,120,1010.7314166666667,0.1443111474658189,1010.49,1010.96,120,193029.33333333334,10888.846473259118,173575,206667,0,,,,
P1,2025-09-16,14,119,23.15109243697479,0.46295804604730567,22.58,23.88,119,67.65268907563025,1.999315432621115,64.85,71.17,119,1010.2826890756303,0.11205096811675391,1010.12,1010.51,119,188305.57983193276,10415.384283410542,172859,201730,0,,,,
P1,2025-09-16,15,119,23.340252100840335,0.44850497830858227,22.58,23.9,119,67.7027731092437,1.8869147647523006,64.68,71.14,119,1010.0985714285714,0.04267110549947035,1010.01,1010.19,119,184270.97478991596,8772.341638433432,170397,202101,0,,,,
P1,2025-09-16,16,119,23.142352941176473,0.4699147161757802,22.56,23.83,119,66.88310924369748,1.8139126863571415,64.13,69.85,119,1010.0967226890756,0.0795656561173105,1009.98,1010.27,119,184558.6050420168,10818.477224698985,166006,198808,0,,,,
P1,2025-09-16,17,120,23.2115,0.4380009017296278,22.59,23.84,120,65.83966666666667,1.8259842210025072,63.26,68.77,120,1009.9659166666667,0.06745675033135741,1009.82,1010.06,120,180856.75833333333,7525.493749116869,165350,195968,0,,,,
P1,2025-09-16,18,119,23.227731092436976,0.4156645424157287,22.57,23.78,119,66.38899159663866,1.9522101316799567,63.83,70.69,119,1010.5778151260504,0.2912776055553978,1010.05,1011.03,119,182078.3949579832,7928.910378063571,169192,196202,0,,,,
P1,2025-09-16,19,119,23.17016806722689,0.5017714098922114,22.31,23.83,119,68.78478991596639,2.1307310946864115,64.3,71.72,119,1011.0872268907564,0.049316074488586874,1010.96,1011.16,119,173665.9411764706,11663.980850300275,159069,196788,0,,,,
P1,2025-09-16,20,119,23.154453781512608,0.42148988664102305,22.46,23.81,119,70.08949579831932,2.1870787143923884,66.58,73.3,119,1011.0521848739495,0.06463928154316106,1010.97,1011.23,119,164036.02521008404,8706.990117494035,152411,180496,0,,,,
P1,2025-09-16,21,119,24.591176470588234,1.2149793724067461,22.47,26.55,119,69.94159663865545,2.2828895543316743,65.87,74.36,119,1010.7821848739496,0.21114762954902516,1010.41,1011.09,119,152720.80672268907,9090.743783108366,135190,173037,0,,,,
P1,2025-09-16,22,120,27.302833333333336,0.3816575598585698,26.57,27.9,120,70.25541666666666,0.3967555304975452,69.32,70.86,120,1010.6464166666667,0.1373017032052993,1010.42,1010.87,120,128651.375,2307.59714987093,126225,135190,0,,,,
P1,2025-09-16,23,119,28.361848739495798,0.22877331829488262,27.91,28.7,119,68.2624369747899,0.5476698968442818,67.28,69.39,119,1011.1583193277311,0.19371619695390538,1010.83,1011.42,119,128541.28571428571,938.6966093766513,126606,130655,0,,,,
P1,2025-09-17,0,119,28.897226890756304,0.11066765308910528,28.7,29.08,119,67.44731092436975,0.11428997819990572,67.18,67.8,119,1011.4483193277312,0.03927994545311403,1011.37,1011.51,119,129571.01680672269,610.3727672245778,128254,130962,0,,,,
P1,2025-09-17,1,119,29.190336134453784,0.04991404090881096,29.09,29.28,119,67.28294117647059,0.28079292370355724,66.35,67.79,119,1010.9394117647058,0.18169304585283624,1010.74,1011.4,119,129551.57983193277,688.7271543573269,128352,132098,0,,,,
P1,2025-09-17,2,120,29.33216666666667,0.051403549779870626,29.24,29.42,120,66.09741666666666,0.24520783787125627,65.56,66.59,120,1010.6305833333333,0.06979316180077005,1010.51,1010.76,120,133257.04166666666,656.6786737836521,131373,135081,0,,,,
P1,2025-09-17,3,119,29.497731092436975,0.03805520020122955,29.42,29.55,119,65.9390756302521,0.2449178056404319,65.41,66.64,119,1010.5514285714286,0.05274315305044159,1010.48,1010.67,119,133700.56302521008,680.5493000567434,131994,135081,0,,,,
P1,2025-09-17,4,119,29.62731092436975,0.03681602172856163,29.56,29.68,119,65.18705882352941,0.2552278906614452,64.61,65.81,119,1010.753025210084,0.0698127595282948,1010.65,1010.86,119,135877.5294117647,647.8139488026067,134322,137295,0,,,,
