timestamp,device_id,temperature,humidity,pressure,gas_resistance,co2,absolute_humidity
2025-07-05 22:22:53,P3,33.20383,49.07913,997.9208,11006,678,17.66
2025-07-05 22:23:17,P3,33.71242,48.68772,997.8929,11064,684,18.0
2025-07-05 22:23:47,P3,33.23938,48.68298,997.8786,10994,687,17.55
2025-07-05 22:24:17,P3,33.21555,48.02329,997.8876,11006,688,17.29
2025-07-05 22:24:47,P3,33.25617,47.38892,997.9048,11052,689,17.1
2025-07-05 22:25:17,P3,33.21867,47.95488,997.914,10971,691,17.27
2025-07-05 22:25:47,P3,33.25207,47.34609,997.8989,10994,688,17.08
2025-07-05 22:26:17,P3,33.23742,46.63834,997.9489,11052,693,16.81
2025-07-05 22:26:47,P3,33.72414,46.77998,997.969,11040,693,17.3
2025-07-05 22:27:17,P3,33.26672,46.75488,997.9163,10971,694,16.88
2025-07-05 22:27:47,P3,33.23195,46.26008,997.9084,11006,691,16.67
2025-07-05 22:28:17,P3,33.27199,45.72334,997.8973,11040,692,16.51
2025-07-05 22:28:47,P3,33.22121,46.18444,997.9172,10948,697,16.64
2025-07-05 22:29:17,P3,33.24641,45.57452,997.9069,11006,697,16.44
2025-07-05 22:29:47,P3,33.2507,44.85123,997.8893,11064,697,16.18
2025-07-05 22:30:17,P3,33.72726,45.06213,997.8798,11076,695,16.67
2025-07-05 22:30:47,P3,33.26828,45.06332,997.8766,10994,694,16.27
2025-07-05 22:31:17,P3,33.24817,44.53867,997.8677,11029,696,16.07
2025-07-05 22:31:47,P3,33.24699,43.86865,997.8574,11087,696,15.82
2025-07-05 22:32:17,P3,33.16985,44.41262,997.8351,10982,695,15.95
2025-07-05 22:32:47,P3,33.2552,43.74392,997.826,11040,697,15.78
2025-07-05 22:33:17,P3,33.23938,43.23037,997.8098,11076,697,15.59
2025-07-05 22:33:47,P3,33.70422,43.37557,997.8633,11064,697,16.03
2025-07-05 22:34:17,P3,33.22726,43.40027,997.8367,11006,696,15.64
2025-07-05 22:34:47,P3,33.1552,42.94077,997.8311,11064,696,15.41
2025-07-05 22:35:17,P3,33.17199,42.52525,997.8527,11099,694,15.28
2025-07-05 22:35:47,P3,33.11848,43.12856,997.8334,10982,700,15.45
2025-07-05 22:36:17,P3,33.14191,42.64869,997.8035,11040,697,15.3
2025-07-05 22:36:47,P3,33.08,42.22412,997.7997,11099,696,15.1
2025-07-05 22:37:18,P3,33.55812,42.42933,997.8558,11099,696,15.56
2025-07-05 22:37:47,P3,33.11555,42.41727,997.8133,11006,696,15.19
